ts,bid.curr.mth,target.7sec,baseline,R01_bid.curr.mth,R01_target.7sec
2016-05-01 11:29,83700,83700,83700,0,0
2016-05-01 11:29,83700,83700,83700,0,0
2016-05-01 11:29,83700,83700,83700,0,0
2016-05-01 11:29,83700,83700,83700,0,0
2016-05-01 11:29,83700,83700,83700,0,0
2016-05-01 11:29,83700,83700,83700,0,0
2016-05-01 11:29,83700,83700,83700,0,0
2016-05-01 11:29,83700,83700,83700,0,0
2016-05-01 11:29,83700,83700,83700,0,0
2016-05-01 11:29,83700,83700,83700,0,0
2016-05-01 11:29,83700,83800,83700,0,100
2016-05-01 11:29,83700,83800,83700,0,100
2016-05-01 11:29,83700,83800,83700,0,100
2016-05-01 11:29,83700,83800,83700,0,100
2016-05-01 11:29,83700,83800,83700,0,100
2016-05-01 11:29,83700,83900,83700,0,200
2016-05-01 11:29,83700,83900,83700,0,200
2016-05-01 11:29,83800,83900,83700,100,200
2016-05-01 11:29,83800,84000,83700,100,300
2016-05-01 11:29,83800,84000,83700,100,300
2016-05-01 11:29,83800,84000,83700,100,300
2016-05-01 11:29,83800,84000,83700,100,300
2016-05-01 11:29,83900,84000,83700,200,300
2016-05-01 11:29,83900,84000,83700,200,300
2016-05-01 11:29,83900,84000,83700,200,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84000,83700,300,300
2016-05-01 11:29,84000,84100,83700,300,400
2016-05-01 11:29,84000,84100,83700,300,400
2016-05-01 11:29,84000,84200,83700,300,500
2016-05-01 11:29,84000,84300,83700,300,600
2016-05-01 11:29,84000,84300,83700,300,600
2016-05-01 11:29,84000,84300,83700,300,600
2016-05-01 11:29,84000,84400,83700,300,700
2016-05-01 11:29,84100,84400,83700,400,700
2016-05-01 11:29,84100,84400,83700,400,700
2016-05-01 11:29,84200,84500,83700,500,800
2016-05-01 11:29,84300,84500,83700,600,800
2016-05-01 11:29,84300,84600,83700,600,900
2016-05-01 11:29,84300,84700,83700,600,1000
