ts,R01_bid.curr.mth,R01_target.7sec
2016-02-01 11:29:00,81600,81800
2016-02-01 11:29:00,81600,81800
2016-02-01 11:29:00,81700,81800
2016-02-01 11:29:00,81700,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81800
2016-02-01 11:29:00,81800,81900
2016-02-01 11:29:00,81800,81900
2016-02-01 11:29:00,81800,82000
2016-02-01 11:29:00,81800,82000
2016-02-01 11:29:00,81800,82100
2016-02-01 11:29:00,81800,82100
2016-02-01 11:29:00,81800,82100
2016-02-01 11:29:00,81900,82100
2016-02-01 11:29:00,81900,82100
2016-02-01 11:29:00,82000,82200
2016-02-01 11:29:00,82000,82200
2016-02-01 11:29:00,82100,82300
2016-02-01 11:29:00,82100,82300
2016-02-01 11:29:00,82100,82400
2016-02-01 11:29:00,82100,82400
2016-02-01 11:29:00,82100,82500
2016-02-01 11:29:00,82200,82600
2016-02-01 11:29:00,82200,82600
2016-02-01 11:29:00,82300,82700
2016-02-01 11:29:00,82300,82700
2016-02-01 11:29:00,82400,82800
2016-02-01 11:29:00,82400,82900
2016-02-01 11:29:00,82500,83000
2016-02-01 11:29:00,82600,83000
2016-02-01 11:29:00,82600,83000
2016-02-01 11:29:00,82700,83100
2016-02-01 11:29:00,82700,83100
2016-02-01 11:29:00,82800,83200
2016-02-01 11:29:00,82900,83200
2016-02-01 11:29:00,83000,83200
2016-03-01 11:29:00,81500,81600
2016-03-01 11:29:00,81500,81600
2016-03-01 11:29:00,81500,81700
2016-03-01 11:29:00,81500,81700
2016-03-01 11:29:00,81500,81800
2016-03-01 11:29:00,81500,81800
2016-03-01 11:29:00,81600,81800
2016-03-01 11:29:00,81600,81800
2016-03-01 11:29:00,81600,81800
2016-03-01 11:29:00,81700,81800
2016-03-01 11:29:00,81700,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81800
2016-03-01 11:29:00,81800,81900
2016-03-01 11:29:00,81800,81900
2016-03-01 11:29:00,81800,82000
2016-03-01 11:29:00,81800,82000
2016-03-01 11:29:00,81800,82100
2016-03-01 11:29:00,81800,82100
2016-03-01 11:29:00,81800,82100
2016-03-01 11:29:00,81900,82100
2016-03-01 11:29:00,81900,82100
2016-03-01 11:29:00,82000,82100
2016-03-01 11:29:00,82000,82100
2016-03-01 11:29:00,82100,82200
2016-03-01 11:29:00,82100,82200
2016-03-01 11:29:00,82100,82200
2016-03-01 11:29:00,82100,82300
2016-03-01 11:29:00,82100,82400
2016-03-01 11:29:00,82100,82400
2016-03-01 11:29:00,82100,82500
2016-03-01 11:29:00,82200,82500
2016-03-01 11:29:00,82200,82600
2016-03-01 11:29:00,82200,82700
2016-03-01 11:29:00,82300,82800
2016-03-01 11:29:00,82400,82800
2016-03-01 11:29:00,82400,82900
2016-03-01 11:29:00,82500,83000
2016-03-01 11:29:00,82500,83000
2016-03-01 11:29:00,82600,83000
2016-03-01 11:29:00,82700,83000
2016-03-01 11:29:00,82800,83100
2016-03-01 11:29:00,82800,83100
2016-04-01 11:29:00,83700,83700
2016-04-01 11:29:00,83700,83700
2016-04-01 11:29:00,83700,83700
2016-04-01 11:29:00,83700,83700
2016-04-01 11:29:00,83700,83700
2016-04-01 11:29:00,83700,83700
2016-04-01 11:29:00,83700,83700
2016-04-01 11:29:00,83700,83800
2016-04-01 11:29:00,83700,83800
2016-04-01 11:29:00,83700,83800
2016-04-01 11:29:00,83700,83900
2016-04-01 11:29:00,83700,83900
2016-04-01 11:29:00,83700,83900
2016-04-01 11:29:00,83700,83900
2016-04-01 11:29:00,83800,84000
2016-04-01 11:29:00,83800,84000
2016-04-01 11:29:00,83800,84000
2016-04-01 11:29:00,83900,84000
2016-04-01 11:29:00,83900,84000
2016-04-01 11:29:00,83900,84000
2016-04-01 11:29:00,83900,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84000
2016-04-01 11:29:00,84000,84100
2016-04-01 11:29:00,84000,84100
2016-04-01 11:29:00,84000,84200
2016-04-01 11:29:00,84000,84200
2016-04-01 11:29:00,84000,84300
2016-04-01 11:29:00,84000,84300
2016-04-01 11:29:00,84000,84300
2016-04-01 11:29:00,84100,84300
2016-04-01 11:29:00,84100,84400
2016-04-01 11:29:00,84200,84400
2016-04-01 11:29:00,84200,84400
2016-04-01 11:29:00,84300,84500
2016-04-01 11:29:00,84300,84500
